Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 crypto.py:1(<module>)
     3234    0.003    0.000    0.018    0.000 functools.py:479(decorating_function)
        2    0.000    0.000    0.018    0.009 connection.py:1(<module>)
        1    0.000    0.000    0.017    0.017 backend.py:5(<module>)
    13444    0.007    0.000    0.017    0.000 _pmap.py:60(_getitem)
        2    0.000    0.000    0.017    0.008 __init__.py:509(version)
        2    0.000    0.000    0.016    0.008 core.py:235(reset)
        1    0.000    0.000    0.016    0.016 core.py:68(make)
        1    0.000    0.000    0.016    0.016 core.py:102(__init__)
        2    0.000    0.000    0.016    0.008 __init__.py:483(distribution)
        2    0.000    0.000    0.016    0.008 __init__.py:178(from_name)
    50560    0.016    0.000    0.016    0.000 utils.py:75(<dictcomp>)
     3290    0.008    0.000    0.015    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.015    0.015 ssl_.py:1(<module>)
       14    0.001    0.000    0.015    0.001 __init__.py:459(<genexpr>)
        1    0.000    0.000    0.015    0.015 exceptions.py:3(<module>)
      111    0.000    0.000    0.015    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.014    0.014 url.py:1(<module>)
       11    0.000    0.000    0.014    0.001 six.py:80(_import_module)
        4    0.000    0.000    0.014    0.004 six.py:112(_resolve)
        2    0.000    0.000    0.014    0.007 __init__.py:45(<module>)
   175959    0.014    0.000    0.014    0.000 helpers.py:321(ship_id)
       45    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
       10    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap>:433(spec_from_loader)
        4    0.000    0.000    0.014    0.003 six.py:205(is_package)
        1    0.000    0.000    0.014    0.014 six.py:115(__getattr__)
        4    0.000    0.000    0.014    0.003 core.py:485(__set_state)
      798    0.001    0.000    0.013    0.000 helpers.py:646(<listcomp>)
    23921    0.012    0.000    0.013    0.000 utils.py:42(has)
        3    0.000    0.000    0.013    0.004 base.py:5(<module>)
 1773/806    0.003    0.000    0.013    0.000 utils.py:118(default_schema)
        4    0.000    0.000    0.013    0.003 core.py:490(<listcomp>)
        6    0.000    0.000    0.013    0.002 core.py:495(__get_state)
     1596    0.003    0.000    0.013    0.000 helpers.py:517(_observation)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 client.py:69(<module>)
    36/35    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
    36/35    0.011    0.000    0.012    0.000 {built-in method _imp.create_dynamic}
 1030/111    0.004    0.000    0.012    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
      821    0.003    0.000    0.010    0.000 _validators.py:69(items)
    13447    0.007    0.000    0.010    0.000 _pmap.py:54(_get_bucket)
     1596    0.002    0.000    0.010    0.000 helpers.py:502(next_actions)
        1    0.000    0.000    0.010    0.010 parser.py:5(<module>)
      458    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
   115322    0.010    0.000    0.010    0.000 {method 'items' of 'dict' objects}
      164    0.000    0.000    0.010    0.000 utils.py:46(register_decorator)
        1    0.000    0.000    0.010    0.010 feedparser.py:20(<module>)
    38127    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
      165    0.001    0.000    0.009    0.000 utils.py:97(verify_interface)
      415    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.009    0.009 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.009    0.009 compat.py:9(<module>)
     4961    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.008    0.008 converters.py:3(<module>)
1685/1673    0.002    0.000    0.008    0.000 typing.py:245(inner)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
     2025    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.008    0.008 __init__.py:19(<module>)
        3    0.000    0.000    0.008    0.003 _compat.py:1(<module>)
     1616    0.001    0.000    0.008    0.000 _utils.py:24(__setitem__)
        1    0.000    0.000    0.008    0.008 _make.py:1(<module>)
 1197/399    0.003    0.000    0.007    0.000 core.py:651(update_props)
        1    0.000    0.000    0.007    0.007 universaldetector.py:36(<module>)
     2067    0.007    0.000    0.007    0.000 {built-in method posix.stat}
     1612    0.004    0.000    0.007    0.000 _collections_abc.py:824(update)
     4788    0.003    0.000    0.007    0.000 helpers.py:489(ships)
      822    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.007    0.007 _internal.py:6(<module>)
61578/60349    0.006    0.000    0.007    0.000 {built-in method builtins.len}
     1612    0.003    0.000    0.007    0.000 validators.py:783(resolve_fragment)
     1308    0.001    0.000    0.006    0.000 __init__.py:448(_matches_legacy)
      366    0.000    0.000    0.006    0.000 inspect.py:3081(signature)
        1    0.000    0.000    0.006    0.006 extensions.py:5(<module>)
        4    0.000    0.000    0.006    0.002 utils.py:5(<module>)
