2.305076868040487
         5656548 function calls (5654242 primitive calls) in 2.465 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 polynomial.py:57(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
       63    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       13    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
       49    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
       56    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       34    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       91    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:4(<module>)
